ordinal,id,name,start_date,end_date,replaces,replaced_by
1,Q328232,Frederick Whitaker,1856-05-07,1856-05-20,,Q1356502
2,Q1356502,William Fox (politician),1856-05-20,1856-06-02,Q328232,Q328232
,Q328232,Frederick Whitaker,1856-06-02,1861-07-12,Q1356502,Q1356502
,Q1356502,William Fox (politician),1861-07-12,1861-08-02,Q328232,Q741462
3,Q741462,Henry Sewell,1861-08-02,1862-08-06,Q1356502,Q7790041
4,Q7790041,Thomas Gillies,1862-08-06,1862-08-23,Q741462,Q741462
,Q741462,Henry Sewell,1862-08-23,1863-01-01,Q7790041,Q328232
,Q328232,Frederick Whitaker,1863-01-01,1864-11-24,Q741462,Q741462
,Q741462,Henry Sewell,1864-11-24,1865-10-16,Q328232,Q6141419
5,Q6141419,James Prendergast (judge),1865-10-16,1876-09-01,Q741462,Q328232
,Q328232,Frederick Whitaker,1876-09-01,1877-10-13,Q6141419,Q945390
6,Q945390,Robert Stout,1877-10-13,1879-10-08,Q328232,Q328232
,Q328232,Frederick Whitaker,1882-04-21,1883-09-25,Q945390,Q5342388
7,Q5342388,Edward Conolly (judge),1883-09-25,1884-08-16,Q328232,Q945390
,Q945390,Robert Stout,1884-08-16,1887-10-08,Q5342388,Q328232
,Q328232,Frederick Whitaker,1887-10-11,1891-01-24,Q945390,Q7146030
8,Q7146030,Patrick Buckley (New Zealand politician),1891-01-24,1895-12-20,Q328232,Q4711018
9,Q4711018,Albert Pitt,1903-06-22,1906-11-18,Q7146030,Q6233141
10,Q6233141,John Findlay (New Zealand politician),1906-11-18,1911-12-26,Q4711018,Q6290507
,Q6290507,Josiah Hanan,1912-03-28,1912-07-10,Q6233141,Q4719123
11,Q4719123,Alexander Herdman,1912-07-10,1918-02-04,Q6290507,Q742508
12,Q742508,Francis Bell (New Zealand politician),1918-02-04,1926-01-18,Q4719123,Q8007976
13,Q8007976,William Downie Stewart Jr,1926-01-18,1926-05-24,Q742508,Q5489264
14,Q5489264,Frank Rolleston,1926-05-24,1928-12-10,Q8007976,Q7793965
15,Q7793965,Thomas Sidey,1928-12-10,1931-09-22,Q5489264,Q8007976
,Q8007976,William Downie Stewart Jr,1931-09-22,1933-01-28,Q7793965,Q775773
16,Q775773,George Forbes (New Zealand politician),1933-01-28,1935-12-06,Q8007976,Q7319248
17,Q7319248,Rex Mason,1935-12-06,1949-12-13,Q775773,Q958022
18,Q958022,Clifton Webb (politician),1949-12-13,1954-11-26,Q7319248,Q284733
19,Q284733,Jack Marshall,1954-11-26,1957-12-12,Q958022,Q7319248
,Q7319248,Rex Mason,1957-12-12,1960-12-12,Q284733,Q3418260
20,Q3418260,Ralph Hanan,1960-12-12,1969-12-22,Q7319248,Q284733
,Q284733,Jack Marshall,1969-12-22,1971-02-02,Q3418260,Q5214276
21,Q5214276,Dan Riddiford,1971-02-02,1972-02-09,Q284733,Q7372995
,Q7372995,Roy Jack,1972-02-09,1972-12-08,Q5214276,Q6777626
22,Q6777626,Martyn Finlay,1972-12-08,1975-12-12,Q7372995,Q16012013
23,Q16012013,Peter Wilkinson (politician),1975-12-12,1978-12-13,Q6777626,Q6135999
24,Q6135999,Jim McLay,1978-12-13,1984-07-26,Q16012013,Q1385100
25,Q1385100,Geoffrey Palmer (politician),1984-07-26,1989-08-04,Q6135999,Q367589
26,Q367589,David Lange,1989-08-04,1990-11-02,Q1385100,Q7150443
27,Q7150443,Paul East,1990-11-02,1997-12-05,Q367589,Q5300516
28,Q5300516,Doug Graham,1997-12-05,1999-12-10,Q7150443,Q2920241
29,Q2920241,Margaret Wilson,1999-12-10,2005-02-28,Q5300516,Q2622925
30,Q2622925,Michael Cullen (politician),2005-02-28,2005-10-19,Q2920241,Q15196319
31,Q15196319,David Parker (New Zealand politician),2005-10-19,2006-03-21,Q2622925,Q2622925
,Q2622925,Michael Cullen (politician),2006-03-21,2008-11-19,Q15196319,Q5106549
32,Q5106549,Chris Finlayson,2008-11-19,2017-10-26,Q2622925,Q15196319
,Q15196319,David Parker (New Zealand politician),2017-10-26,,Q5106549,
